op_numero,etapa,maquina_codigo,operador_nome,data_inicio,data_fim,quantidade_produzida,quantidade_refugo,motivo_refugo
OP-2025-0001,extrusao,EXT-01,João Silva,2025-01-03T07:00:00Z,2025-01-03T11:00:00Z,1470,15,Acerto de máquina
OP-2025-0001,corte_solda,COR-01,Maria Costa,2025-01-03T11:00:00Z,2025-01-03T18:00:00Z,1470,15,Falha na solda
OP-2025-0002,extrusao,EXT-01,João Silva,2025-01-04T07:00:00Z,2025-01-04T11:00:00Z,1960,20,Acerto de máquina
OP-2025-0002,corte_solda,COR-01,Maria Costa,2025-01-04T11:00:00Z,2025-01-04T18:00:00Z,1960,20,Falha na solda
OP-2025-0003,extrusao,EXT-01,João Silva,2025-01-05T07:00:00Z,2025-01-05T11:00:00Z,2450,25,Acerto de máquina
OP-2025-0004,extrusao,EXT-01,João Silva,2025-01-06T07:00:00Z,2025-01-06T11:00:00Z,2940,30,Acerto de máquina
OP-2025-0005,extrusao,EXT-01,João Silva,2025-01-07T07:00:00Z,2025-01-07T11:00:00Z,3430,35,Acerto de máquina
OP-2025-0005,corte_solda,COR-01,Maria Costa,2025-01-07T11:00:00Z,2025-01-07T18:00:00Z,3430,35,Falha na solda
OP-2025-0006,extrusao,EXT-01,João Silva,2025-01-08T07:00:00Z,2025-01-08T11:00:00Z,3920,40,Acerto de máquina
OP-2025-0006,corte_solda,COR-01,Maria Costa,2025-01-08T11:00:00Z,2025-01-08T18:00:00Z,3920,40,Falha na solda
OP-2025-0007,extrusao,EXT-01,João Silva,2025-01-09T07:00:00Z,2025-01-09T11:00:00Z,4410,45,Acerto de máquina
OP-2025-0007,corte_solda,COR-01,Maria Costa,2025-01-09T11:00:00Z,2025-01-09T18:00:00Z,4410,45,Falha na solda
OP-2025-0008,extrusao,EXT-01,João Silva,2025-01-10T07:00:00Z,2025-01-10T11:00:00Z,4900,50,Acerto de máquina
OP-2025-0009,extrusao,EXT-01,João Silva,2025-01-11T07:00:00Z,2025-01-11T11:00:00Z,5390,55,Acerto de máquina
OP-2025-0010,extrusao,EXT-01,João Silva,2025-01-12T07:00:00Z,2025-01-12T11:00:00Z,980,10,Acerto de máquina
OP-2025-0010,corte_solda,COR-01,Maria Costa,2025-01-12T11:00:00Z,2025-01-12T18:00:00Z,980,10,Falha na solda
OP-2025-0011,extrusao,EXT-01,João Silva,2025-01-13T07:00:00Z,2025-01-13T11:00:00Z,1470,15,Acerto de máquina
OP-2025-0011,corte_solda,COR-01,Maria Costa,2025-01-13T11:00:00Z,2025-01-13T18:00:00Z,1470,15,Falha na solda
OP-2025-0012,extrusao,EXT-01,João Silva,2025-01-14T07:00:00Z,2025-01-14T11:00:00Z,1960,20,Acerto de máquina
