numero,tipo,data_inspecao,inspetor_nome,resultado,observacoes
INSP-R-0000,recebimento,2025-01-22,Ana Lima,reprovado,Material fora da especificação
INSP-R-0001,recebimento,2025-01-29,Ana Lima,aprovado,OK
INSP-R-0002,recebimento,2025-02-05,Ana Lima,aprovado,OK
INSP-R-0003,recebimento,2025-02-12,Ana Lima,aprovado,OK
INSP-R-0004,recebimento,2025-02-19,Ana Lima,aprovado,OK
INSP-R-0005,recebimento,2025-02-26,Ana Lima,aprovado,OK
INSP-R-0006,recebimento,2025-03-05,Ana Lima,aprovado,OK
INSP-R-0007,recebimento,2025-03-12,Ana Lima,aprovado,OK
INSP-R-0008,recebimento,2025-03-19,Ana Lima,aprovado,OK
INSP-R-0009,recebimento,2025-03-26,Ana Lima,aprovado,OK
INSP-R-0010,recebimento,2025-04-02,Ana Lima,aprovado,OK
INSP-R-0011,recebimento,2025-04-09,Ana Lima,aprovado,OK
INSP-R-0012,recebimento,2025-04-16,Ana Lima,aprovado,OK
INSP-R-0013,recebimento,2025-04-23,Ana Lima,aprovado,OK
INSP-R-0014,recebimento,2025-04-30,Ana Lima,aprovado,OK
INSP-R-0015,recebimento,2025-05-07,Ana Lima,aprovado,OK
INSP-R-0016,recebimento,2025-05-14,Ana Lima,aprovado,OK
INSP-F-0000,final,2025-01-03,Ana Lima,reprovado,Falha na selagem
INSP-F-0001,final,2025-01-04,Ana Lima,aprovado,OK
INSP-F-0002,final,2025-01-05,Ana Lima,aprovado,OK
INSP-F-0003,final,2025-01-06,Ana Lima,aprovado,OK
INSP-F-0004,final,2025-01-07,Ana Lima,aprovado,OK
INSP-F-0005,final,2025-01-08,Ana Lima,aprovado,OK
INSP-F-0006,final,2025-01-09,Ana Lima,aprovado,OK
INSP-F-0007,final,2025-01-10,Ana Lima,aprovado,OK
INSP-F-0008,final,2025-01-11,Ana Lima,aprovado,OK
INSP-F-0009,final,2025-01-12,Ana Lima,aprovado,OK
INSP-F-0010,final,2025-01-13,Ana Lima,aprovado,OK
INSP-F-0011,final,2025-01-14,Ana Lima,aprovado,OK
INSP-F-0012,final,2025-01-15,Ana Lima,aprovado,OK
INSP-F-0013,final,2025-01-16,Ana Lima,aprovado,OK
INSP-F-0014,final,2025-01-17,Ana Lima,aprovado,OK
INSP-F-0015,final,2025-01-18,Ana Lima,reprovado,Falha na selagem
INSP-F-0016,final,2025-01-19,Ana Lima,aprovado,OK
INSP-F-0017,final,2025-01-20,Ana Lima,aprovado,OK
INSP-F-0018,final,2025-01-21,Ana Lima,aprovado,OK
INSP-F-0019,final,2025-01-22,Ana Lima,aprovado,OK
INSP-F-0020,final,2025-01-23,Ana Lima,aprovado,OK
INSP-F-0021,final,2025-01-24,Ana Lima,aprovado,OK
INSP-F-0022,final,2025-01-25,Ana Lima,aprovado,OK
INSP-F-0023,final,2025-01-26,Ana Lima,aprovado,OK
INSP-F-0024,final,2025-01-27,Ana Lima,aprovado,OK
INSP-F-0025,final,2025-01-28,Ana Lima,aprovado,OK
INSP-F-0026,final,2025-01-29,Ana Lima,aprovado,OK
INSP-F-0027,final,2025-01-30,Ana Lima,aprovado,OK
INSP-F-0028,final,2025-01-31,Ana Lima,aprovado,OK
INSP-F-0029,final,2025-02-01,Ana Lima,aprovado,OK
INSP-F-0030,final,2025-02-02,Ana Lima,reprovado,Falha na selagem
INSP-F-0031,final,2025-02-03,Ana Lima,aprovado,OK
INSP-F-0032,final,2025-02-04,Ana Lima,aprovado,OK
INSP-F-0033,final,2025-02-05,Ana Lima,aprovado,OK
INSP-F-0034,final,2025-02-06,Ana Lima,aprovado,OK
INSP-F-0035,final,2025-02-07,Ana Lima,aprovado,OK
INSP-F-0036,final,2025-02-08,Ana Lima,aprovado,OK
INSP-F-0037,final,2025-02-09,Ana Lima,aprovado,OK
INSP-F-0038,final,2025-02-10,Ana Lima,aprovado,OK
INSP-F-0039,final,2025-02-11,Ana Lima,aprovado,OK
INSP-F-0040,final,2025-02-12,Ana Lima,aprovado,OK
INSP-F-0041,final,2025-02-13,Ana Lima,aprovado,OK
INSP-F-0042,final,2025-02-14,Ana Lima,aprovado,OK
INSP-F-0043,final,2025-02-15,Ana Lima,aprovado,OK
INSP-F-0044,final,2025-02-16,Ana Lima,aprovado,OK
INSP-F-0045,final,2025-02-17,Ana Lima,reprovado,Falha na selagem
INSP-F-0046,final,2025-02-18,Ana Lima,aprovado,OK
INSP-F-0047,final,2025-02-19,Ana Lima,aprovado,OK
INSP-F-0048,final,2025-02-20,Ana Lima,aprovado,OK
INSP-F-0049,final,2025-02-21,Ana Lima,aprovado,OK
INSP-F-0050,final,2025-02-22,Ana Lima,aprovado,OK
INSP-F-0051,final,2025-02-23,Ana Lima,aprovado,OK
INSP-F-0052,final,2025-02-24,Ana Lima,aprovado,OK
INSP-F-0053,final,2025-02-25,Ana Lima,aprovado,OK
INSP-F-0054,final,2025-02-26,Ana Lima,aprovado,OK
INSP-F-0055,final,2025-02-27,Ana Lima,aprovado,OK
INSP-F-0056,final,2025-02-28,Ana Lima,aprovado,OK
INSP-F-0057,final,2025-03-01,Ana Lima,aprovado,OK
INSP-F-0058,final,2025-03-02,Ana Lima,aprovado,OK
INSP-F-0059,final,2025-03-03,Ana Lima,aprovado,OK
INSP-F-0060,final,2025-03-04,Ana Lima,reprovado,Falha na selagem
INSP-F-0061,final,2025-03-05,Ana Lima,aprovado,OK
INSP-F-0062,final,2025-03-06,Ana Lima,aprovado,OK
